#,Best fitness,Average fitness,Worst fitness,Respawn,Finish,Distance,Time,Speed
1,122.4768,17.68322,0,10,False,59.34452,9.400025,14.12206
2,498.0978,79.05354,0,10,False,433.9601,67.66066,14.34697
3,624.6431,214.4115,0,10,False,447.8926,25.34039,39.53732
4,721.3257,366.0492,0,10,False,437.3411,15.40016,63.52454
5,753.3088,348.1453,0,10,False,480.7679,17.64021,60.96467
6,753.3088,444.2233,0,10,False,480.7679,17.64021,60.96467
7,778.8621,503.9331,0,10,False,481.5885,16.20018,66.49712
8,778.8621,284.2988,0,10,False,481.5885,16.20018,66.49712
9,781.0615,483.9919,48.43657,10,False,492.2095,17.0402,64.6133
10,781.0615,589.5952,51.11129,10,False,492.2095,17.0402,64.6133
11,781.0615,550.27,37.23534,10,False,492.2095,17.0402,64.6133
12,781.0615,651.1182,235.2239,10,False,492.2095,17.0402,64.6133
13,781.0615,529.1147,50.64128,10,False,492.2095,17.0402,64.6133
14,803.9248,590.9987,0,10,False,504.8478,16.8802,66.90054
15,803.9248,594.486,0,10,False,504.8478,16.8802,66.90054
16,803.9248,548.7875,25.99132,10,False,504.8478,16.8802,66.90054
17,803.9248,580.2398,50.64128,10,False,504.8478,16.8802,66.90054
18,803.9248,556.2289,18.56277,10,False,504.8478,16.8802,66.90054
19,806.5756,484.0187,25.02993,10,False,506.7356,16.9002,67.07122
20,803.9248,319.8582,6.893894,10,False,504.8478,16.8802,66.90054
21,803.9248,574.9231,6.931005,10,False,504.8478,16.8802,66.90054
22,803.9248,497.7245,6.968637,10,False,504.8478,16.8802,66.90054
23,803.9248,615.8778,18.9914,10,False,504.8478,16.8802,66.90054
24,803.9248,507.3876,6.715757,10,False,504.8478,16.8802,66.90054
25,803.9248,527.5083,6.821185,10,False,504.8478,16.8802,66.90054
26,803.9248,559.3129,12.37511,10,False,504.8478,16.8802,66.90054
27,836.6797,732.7527,255.9079,10,False,524.488,16.80019,69.83415
28,826.4803,596.5927,123.4282,10,False,525.9443,17.50021,67.22691
29,826.4803,561.6997,43.17319,10,False,525.9443,17.50021,67.22691
30,826.4803,545.7415,130.8548,10,False,525.9443,17.50021,67.22691
31,853.6424,655.2125,10.48743,10,False,529.5587,16.34018,72.49429
32,826.4803,567.3649,125.4955,10,False,525.9443,17.50021,67.22691
33,826.4803,468.2819,21.54653,10,False,525.9443,17.50021,67.22691
34,916.0635,650.6998,144.7598,10,False,582.2236,17.44021,74.67664
35,812.9807,508.1615,35.52222,10,False,512.3243,17.0402,67.25381
36,826.4803,539.4679,124.9665,10,False,525.9443,17.50021,67.22691
37,826.4803,609.1144,215.8012,10,False,525.9443,17.50021,67.22691
38,826.4803,484.7764,164.2188,10,False,525.9443,17.50021,67.22691
39,826.4803,507.6274,42.32491,10,False,525.9443,17.50021,67.22691
40,827.0164,619.301,48.43657,10,False,512.3243,16.28018,70.39346
41,827.0164,551.0815,118.9646,10,False,512.3243,16.28018,70.39346
42,827.0164,419.2047,79.45863,10,False,512.3243,16.28018,70.39346
43,827.0164,510.4818,35.52222,10,False,512.3243,16.28018,70.39346
44,1480.294,567.8298,20.21287,10,False,1114.433,30.46051,81.83956
45,827.0164,633.4804,35.52222,10,False,512.3243,16.28018,70.39346
46,827.0164,439.5786,57.82879,10,False,512.3243,16.28018,70.39346
47,827.0164,519.0931,113.1455,10,False,512.3243,16.28018,70.39346
48,827.0164,565.059,121.5416,10,False,512.3243,16.28018,70.39346
49,827.0164,486.6642,134.4818,10,False,512.3243,16.28018,70.39346
50,827.0164,581.1336,115.2098,10,False,512.3243,16.28018,70.39346
51,827.0164,438.9819,33.98046,10,False,512.3243,16.28018,70.39346
52,827.0164,536.8997,44.99542,10,False,512.3243,16.28018,70.39346
53,827.0164,611.6796,89.4345,10,False,512.3243,16.28018,70.39346
54,827.0164,481.9639,41.51476,10,False,512.3243,16.28018,70.39346
55,827.0164,498.3712,115.5279,10,False,512.3243,16.28018,70.39346
56,827.0164,382.2134,33.98046,10,False,512.3243,16.28018,70.39346
57,827.0164,600.4979,120.4119,10,False,512.3243,16.28018,70.39346
58,827.0164,501.2606,42.32491,10,False,512.3243,16.28018,70.39346
59,827.0164,453.4588,56.3926,10,False,512.3243,16.28018,70.39346
60,828.4253,451.1083,56.3926,10,False,519.3136,16.80019,69.1452
61,835.2591,383.4669,25.34304,10,False,525.2172,16.9402,69.35329
62,835.2591,372.4625,0,10,False,525.2172,16.9402,69.35329
63,835.2591,546.1654,97.02482,10,False,525.2172,16.9402,69.35329
64,835.2591,536.7441,118.5405,10,False,525.2172,16.9402,69.35329
65,1437.072,606.0172,49.29061,10,False,1076.003,29.80049,80.76752
66,1437.072,630.1016,44.06235,10,False,1076.003,29.80049,80.76752
67,1437.072,509.6281,18.67032,10,False,1076.003,29.80049,80.76752
68,1437.072,563.3165,75.68679,10,False,1076.003,29.80049,80.76752
69,1437.072,668.8248,83.96117,10,False,1076.003,29.80049,80.76752
70,1437.072,565.1649,12.0557,10,False,1076.003,29.80049,80.76752
71,1437.072,515.4315,34.73157,10,False,1076.003,29.80049,80.76752
72,1437.072,566.8292,43.17319,10,False,1076.003,29.80049,80.76752
73,1437.072,704.9348,44.06235,10,False,1076.003,29.80049,80.76752
74,1437.072,540.6,89.20527,10,False,1076.003,29.80049,80.76752
75,1437.072,761.9113,224.1859,10,False,1076.003,29.80049,80.76752
76,1437.072,692.1591,93.7491,10,False,1076.003,29.80049,80.76752
77,1437.072,613.2189,49.29061,10,False,1076.003,29.80049,80.76752
78,1437.072,685.4833,68.50278,10,False,1076.003,29.80049,80.76752
79,1437.072,667.0623,59.35569,10,False,1076.003,29.80049,80.76752
80,1437.072,624.2189,127.1971,10,False,1076.003,29.80049,80.76752
81,1437.072,705.0751,170.3341,10,False,1076.003,29.80049,80.76752
82,1437.072,648.1321,136.4324,10,False,1076.003,29.80049,80.76752
83,1437.072,576.5807,112.9819,10,False,1076.003,29.80049,80.76752
84,1437.072,660.7018,164.4623,10,False,1076.003,29.80049,80.76752
85,1437.072,522.3624,51.11129,10,False,1076.003,29.80049,80.76752
86,1437.072,565.7007,35.93336,10,False,1076.003,29.80049,80.76752
87,1437.072,645.777,168.1043,10,False,1076.003,29.80049,80.76752
88,1437.072,536.1458,42.32491,10,False,1076.003,29.80049,80.76752
89,1437.072,683.4918,129.2489,10,False,1076.003,29.80049,80.76752
90,1437.072,713.8345,119.2304,10,False,1076.003,29.80049,80.76752
91,1437.072,539.8762,37.69372,10,False,1076.003,29.80049,80.76752
92,1437.072,656.7996,219.8498,10,False,1076.003,29.80049,80.76752
93,1437.072,602.6234,89.71556,10,False,1076.003,29.80049,80.76752
94,1479.265,448.1436,58.32727,10,False,1108.713,29.92049,82.88898
95,1437.072,543.9853,50.64128,10,False,1076.003,29.80049,80.76752
96,1437.072,610.0499,122.649,10,False,1076.003,29.80049,80.76752
97,1437.072,681.2502,120.5006,10,False,1076.003,29.80049,80.76752
98,1437.072,756.955,227.6669,10,False,1076.003,29.80049,80.76752
99,1437.072,587.1259,74.15343,10,False,1076.003,29.80049,80.76752
100,1437.072,724.6633,131.3935,10,False,1076.003,29.80049,80.76752
101,1437.072,625.6493,208.5564,10,False,1076.003,29.80049,80.76752
102,1437.072,575.326,33.98046,10,False,1076.003,29.80049,80.76752
103,1437.072,615.4186,119.541,10,False,1076.003,29.80049,80.76752
104,1437.072,533.3616,124.3473,10,False,1076.003,29.80049,80.76752
105,1437.072,542.4675,77.03629,10,False,1076.003,29.80049,80.76752
106,1437.072,601.0875,48.43657,10,False,1076.003,29.80049,80.76752
107,1437.072,656.6752,86.29235,10,False,1076.003,29.80049,80.76752
108,1437.072,609.3571,0,10,False,1076.003,29.80049,80.76752
109,1437.072,645.9226,51.59175,10,False,1076.003,29.80049,80.76752
110,1437.072,624.6666,66.6118,10,False,1076.003,29.80049,80.76752
111,1437.072,534.6654,75.68679,10,False,1076.003,29.80049,80.76752
112,1437.072,614.9517,201.3581,10,False,1076.003,29.80049,80.76752
113,1437.072,662.1045,120.9753,10,False,1076.003,29.80049,80.76752
114,1437.072,656.4988,123.4282,10,False,1076.003,29.80049,80.76752
115,1437.072,580.2066,62.932,10,False,1076.003,29.80049,80.76752
116,1437.072,555.7296,111.6531,10,False,1076.003,29.80049,80.76752
117,822.9088,515.7615,110.7382,10,False,516.7693,16.8802,68.48033
118,821.9598,403.3606,42.74412,10,False,504.8478,15.92017,70.93478
119,821.9598,587.9576,113.1455,10,False,504.8478,15.92017,70.93478
120,1020.516,603.5035,76.21553,10,False,691.7443,21.04029,73.54285
121,821.9598,430.4057,115.5965,10,False,504.8478,15.92017,70.93478
122,821.9598,569.0373,67.07243,10,False,504.8478,15.92017,70.93478
123,821.9598,493.1293,55.48162,10,False,504.8478,15.92017,70.93478
124,821.9598,613.7295,103.1452,10,False,504.8478,15.92017,70.93478
125,821.9598,559.7972,69.49893,10,False,504.8478,15.92017,70.93478
126,821.9598,653.245,108.3868,10,False,504.8478,15.92017,70.93478
127,821.9598,402.1619,65.4705,10,False,504.8478,15.92017,70.93478
128,821.9598,577.5772,152.8526,10,False,504.8478,15.92017,70.93478
129,821.9598,606.8661,124.3473,10,False,504.8478,15.92017,70.93478
130,821.9598,519.4142,24.90441,10,False,504.8478,15.92017,70.93478
131,821.9598,482.2665,18.67032,10,False,504.8478,15.92017,70.93478
132,821.9598,526.5827,89.90258,10,False,504.8478,15.92017,70.93478
133,821.9598,463.5215,82.02482,10,False,504.8478,15.92017,70.93478
134,853.6168,634.036,142.2057,10,False,530.2794,16.40018,72.32735
135,853.6168,515.7038,7.006797,10,False,530.2794,16.40018,72.32735
136,853.6168,499.0988,54.21971,10,False,530.2794,16.40018,72.32735
137,874.338,667.4413,110.7382,10,False,570.5399,18.78024,67.95658
138,874.338,629.6813,124.3473,10,False,570.5399,18.78024,67.95658
139,874.338,654.1915,93.30454,10,False,570.5399,18.78024,67.95658
140,874.338,570.8805,121.5146,10,False,570.5399,18.78024,67.95658
141,874.338,697.5793,7.006797,10,False,570.5399,18.78024,67.95658
142,874.338,535.9512,111.7008,10,False,570.5399,18.78024,67.95658
143,853.6168,600.5717,129.6231,11,False,530.2794,16.40018,72.32735
144,853.6168,619.2018,205.4298,10,False,530.2794,16.40018,72.32735
145,853.6168,587.3882,140.2512,10,False,530.2794,16.40018,72.32735
146,853.6168,773.5853,707.6407,10,False,530.2794,16.40018,72.32735
147,853.6168,723.8887,117.3151,10,False,530.2794,16.40018,72.32735
148,1419.649,623.7983,121.9864,10,False,1038.437,27.24043,85.27324
149,853.6168,537.7108,66.92725,10,False,530.2794,16.40018,72.32735
150,857.4527,612.3871,123.3486,10,False,534.6189,16.56019,72.2147
151,857.4527,644.114,259.9627,10,False,534.6189,16.56019,72.2147
152,857.4527,748.8878,320.5005,10,False,534.6189,16.56019,72.2147
153,857.4527,569.8649,186.5212,10,False,534.6189,16.56019,72.2147
154,857.4527,521.5854,103.9769,10,False,534.6189,16.56019,72.2147
155,857.4527,592.2225,121.1013,10,False,534.6189,16.56019,72.2147
156,857.4527,571.0427,116.447,10,False,534.6189,16.56019,72.2147
157,857.4527,562.6014,112.9819,10,False,534.6189,16.56019,72.2147
